scene_clip_id,scene_percentage,nr_of_scene_changes
6,probability_0.1,11
6,probability_0.2,9
6,probability_0.3,9
6,probability_0.4,9
6,probability_0.5,5
6,probability_0.6,3
7,probability_0.1,1826
7,probability_0.2,114
7,probability_0.3,88
7,probability_0.4,56
7,probability_0.5,24
7,probability_0.6,6
7,probability_0.7,2
8,probability_0.1,1
8,probability_0.2,1
8,probability_0.3,1
8,probability_0.4,1
8,probability_0.5,1
8,probability_0.6,1
8,probability_0.7,1
9,probability_0.1,11
9,probability_0.2,9
9,probability_0.3,9
9,probability_0.4,9
9,probability_0.5,5
9,probability_0.6,3
11,probability_0.1,11
11,probability_0.2,9
11,probability_0.3,9
11,probability_0.4,9
11,probability_0.5,5
11,probability_0.6,3
12,probability_0.1,1
12,probability_0.2,1
12,probability_0.3,1
12,probability_0.4,1
12,probability_0.5,1
12,probability_0.6,1
12,probability_0.7,1
13,probability_0.1,33
15,probability_0.1,145
15,probability_0.2,115
15,probability_0.3,97
15,probability_0.4,77
15,probability_0.5,59
15,probability_0.6,35
15,probability_0.7,10
15,probability_0.8,3
15,probability_0.9,2
16,probability_0.1,136
16,probability_0.2,83
16,probability_0.3,61
16,probability_0.4,48
16,probability_0.5,38
16,probability_0.6,33
16,probability_0.7,25
16,probability_0.8,22
16,probability_0.9,19
29,probability_0.1,87
29,probability_0.2,64
29,probability_0.3,50
29,probability_0.4,35
29,probability_0.5,23
29,probability_0.6,15
29,probability_0.7,11
29,probability_0.8,10
29,probability_0.9,7
30,probability_0.1,104
30,probability_0.2,89
30,probability_0.3,80
30,probability_0.4,62
30,probability_0.5,39
30,probability_0.6,24
30,probability_0.7,16
30,probability_0.8,8
30,probability_0.9,3
31,probability_0.1,139
31,probability_0.2,111
31,probability_0.3,88
31,probability_0.4,55
31,probability_0.5,25
31,probability_0.6,11
31,probability_0.7,4
31,probability_0.8,3
31,probability_0.9,3
32,probability_0.1,176
32,probability_0.2,137
32,probability_0.3,117
32,probability_0.4,102
32,probability_0.5,81
32,probability_0.6,52
32,probability_0.7,28
32,probability_0.8,12
32,probability_0.9,6
33,probability_0.1,121
33,probability_0.2,105
33,probability_0.3,97
33,probability_0.4,73
33,probability_0.5,48
33,probability_0.6,16
33,probability_0.7,7
33,probability_0.8,4
33,probability_0.9,1
34,probability_0.1,108
34,probability_0.2,87
34,probability_0.3,71
34,probability_0.4,52
34,probability_0.5,39
34,probability_0.6,18
34,probability_0.7,12
34,probability_0.8,9
34,probability_0.9,5
35,probability_0.1,108
35,probability_0.2,90
35,probability_0.3,81
35,probability_0.4,75
35,probability_0.5,61
35,probability_0.6,47
35,probability_0.7,30
35,probability_0.8,20
35,probability_0.9,12
36,probability_0.1,55
36,probability_0.2,39
36,probability_0.3,24
36,probability_0.4,15
36,probability_0.5,8
36,probability_0.6,4
36,probability_0.7,2
36,probability_0.8,1
38,probability_0.1,85
38,probability_0.2,52
38,probability_0.3,26
38,probability_0.4,10
38,probability_0.5,8
38,probability_0.6,5
38,probability_0.7,1
39,probability_0.1,123
39,probability_0.2,99
39,probability_0.3,89
39,probability_0.4,76
39,probability_0.5,59
39,probability_0.6,34
39,probability_0.7,10
39,probability_0.8,3
39,probability_0.9,3
40,probability_0.1,113
40,probability_0.2,99
40,probability_0.3,82
40,probability_0.4,64
40,probability_0.5,38
40,probability_0.6,17
40,probability_0.7,11
40,probability_0.8,9
40,probability_0.9,6
41,probability_0.1,90
41,probability_0.2,83
41,probability_0.3,77
41,probability_0.4,63
41,probability_0.5,47
41,probability_0.6,29
41,probability_0.7,12
41,probability_0.8,8
41,probability_0.9,3
42,probability_0.1,134
42,probability_0.2,111
42,probability_0.3,97
42,probability_0.4,85
42,probability_0.5,60
42,probability_0.6,33
42,probability_0.7,15
42,probability_0.8,9
42,probability_0.9,3
43,probability_0.1,106
43,probability_0.2,82
43,probability_0.3,68
43,probability_0.4,58
43,probability_0.5,45
43,probability_0.6,37
43,probability_0.7,19
43,probability_0.8,8
43,probability_0.9,7
44,probability_0.1,33
44,probability_0.2,26
44,probability_0.3,20
44,probability_0.4,16
44,probability_0.5,6
44,probability_0.6,4
44,probability_0.7,2
45,probability_0.1,193
45,probability_0.2,125
45,probability_0.3,87
45,probability_0.4,56
45,probability_0.5,44
45,probability_0.6,25
45,probability_0.7,17
45,probability_0.8,13
45,probability_0.9,10
46,probability_0.1,128
46,probability_0.2,88
46,probability_0.3,53
46,probability_0.4,21
46,probability_0.5,11
46,probability_0.6,7
46,probability_0.7,2
46,probability_0.8,2
46,probability_0.9,1
47,probability_0.1,84
47,probability_0.2,68
47,probability_0.3,52
47,probability_0.4,36
47,probability_0.5,22
47,probability_0.6,12
47,probability_0.7,8
47,probability_0.8,2
47,probability_0.9,2
48,probability_0.1,160
48,probability_0.2,115
48,probability_0.3,96
48,probability_0.4,84
48,probability_0.5,66
48,probability_0.6,42
48,probability_0.7,24
48,probability_0.8,12
48,probability_0.9,8
49,probability_0.1,192
49,probability_0.2,145
49,probability_0.3,122
49,probability_0.4,110
49,probability_0.5,93
49,probability_0.6,77
49,probability_0.7,62
49,probability_0.8,45
49,probability_0.9,26
50,probability_0.1,181
50,probability_0.2,141
50,probability_0.3,123
50,probability_0.4,99
50,probability_0.5,74
50,probability_0.6,36
50,probability_0.7,22
50,probability_0.8,12
50,probability_0.9,9
83,probability_0.1,10
84,probability_0.1,46
84,probability_0.2,40
84,probability_0.3,39
84,probability_0.4,36
84,probability_0.5,35
84,probability_0.6,28
84,probability_0.7,19
84,probability_0.8,12
84,probability_0.9,6
85,probability_0.1,26
85,probability_0.2,11
85,probability_0.3,8
85,probability_0.4,7
85,probability_0.5,5
85,probability_0.6,1
86,probability_0.1,771
86,probability_0.2,402
86,probability_0.3,262
86,probability_0.4,180
86,probability_0.5,122
86,probability_0.6,86
86,probability_0.7,65
86,probability_0.8,57
86,probability_0.9,49
87,probability_0.1,771
87,probability_0.2,272
87,probability_0.3,54
87,probability_0.4,26
87,probability_0.5,13
87,probability_0.6,4
87,probability_0.7,1
87,probability_0.8,1
88,probability_0.1,1
90,probability_0.1,94
90,probability_0.2,68
90,probability_0.3,63
90,probability_0.4,58
90,probability_0.5,51
90,probability_0.6,35
90,probability_0.7,12
90,probability_0.8,7
90,probability_0.9,3
91,probability_0.1,99
91,probability_0.2,71
91,probability_0.3,61
91,probability_0.4,40
91,probability_0.5,27
91,probability_0.6,23
91,probability_0.7,15
91,probability_0.8,8
91,probability_0.9,8
92,probability_0.1,139
92,probability_0.2,123
92,probability_0.3,102
92,probability_0.4,80
92,probability_0.5,70
92,probability_0.6,53
92,probability_0.7,27
92,probability_0.8,21
92,probability_0.9,17
93,probability_0.1,152
93,probability_0.2,99
93,probability_0.3,61
93,probability_0.4,43
93,probability_0.5,31
93,probability_0.6,13
93,probability_0.7,9
93,probability_0.8,6
93,probability_0.9,5
94,probability_0.1,91
94,probability_0.2,63
94,probability_0.3,56
94,probability_0.4,43
94,probability_0.5,32
94,probability_0.6,19
94,probability_0.7,9
94,probability_0.8,6
94,probability_0.9,4
95,probability_0.1,72
95,probability_0.2,46
95,probability_0.3,32
95,probability_0.4,24
95,probability_0.5,16
95,probability_0.6,12
95,probability_0.7,8
95,probability_0.8,8
95,probability_0.9,8
96,probability_0.1,136
96,probability_0.2,83
96,probability_0.3,61
96,probability_0.4,48
96,probability_0.5,38
96,probability_0.6,33
96,probability_0.7,25
96,probability_0.8,22
96,probability_0.9,19
97,probability_0.1,193
97,probability_0.2,125
97,probability_0.3,87
97,probability_0.4,56
97,probability_0.5,44
97,probability_0.6,25
97,probability_0.7,17
97,probability_0.8,13
97,probability_0.9,10
98,probability_0.1,71
98,probability_0.2,59
98,probability_0.3,50
98,probability_0.4,38
98,probability_0.5,20
98,probability_0.6,12
98,probability_0.7,6
98,probability_0.8,5
98,probability_0.9,4
99,probability_0.1,82
99,probability_0.2,71
99,probability_0.3,66
99,probability_0.4,58
99,probability_0.5,40
99,probability_0.6,26
99,probability_0.7,16
99,probability_0.8,12
99,probability_0.9,7
100,probability_0.1,144
100,probability_0.2,122
100,probability_0.3,101
100,probability_0.4,74
100,probability_0.5,55
100,probability_0.6,40
100,probability_0.7,21
100,probability_0.8,11
100,probability_0.9,9
101,probability_0.1,184
101,probability_0.2,129
101,probability_0.3,92
101,probability_0.4,62
101,probability_0.5,43
101,probability_0.6,32
101,probability_0.7,20
101,probability_0.8,13
101,probability_0.9,7
102,probability_0.1,103
102,probability_0.2,76
102,probability_0.3,50
102,probability_0.4,39
102,probability_0.5,24
102,probability_0.6,14
102,probability_0.7,9
102,probability_0.8,6
102,probability_0.9,5
103,probability_0.1,65
103,probability_0.2,49
103,probability_0.3,42
103,probability_0.4,28
103,probability_0.5,24
103,probability_0.6,19
103,probability_0.7,13
103,probability_0.8,10
103,probability_0.9,6
104,probability_0.1,40
104,probability_0.2,30
104,probability_0.3,26
104,probability_0.4,19
104,probability_0.5,15
104,probability_0.6,11
104,probability_0.7,8
104,probability_0.8,3
104,probability_0.9,2
105,probability_0.1,139
105,probability_0.2,96
105,probability_0.3,83
105,probability_0.4,72
105,probability_0.5,59
105,probability_0.6,51
105,probability_0.7,37
105,probability_0.8,29
105,probability_0.9,24
106,probability_0.1,595
106,probability_0.2,393
106,probability_0.3,292
106,probability_0.4,231
106,probability_0.5,180
106,probability_0.6,134
106,probability_0.7,107
106,probability_0.8,84
106,probability_0.9,58
107,probability_0.1,42
107,probability_0.2,33
107,probability_0.3,17
107,probability_0.4,12
107,probability_0.5,6
107,probability_0.6,5
107,probability_0.7,3
107,probability_0.8,2
107,probability_0.9,2
108,probability_0.1,327
108,probability_0.2,186
108,probability_0.3,128
108,probability_0.4,88
108,probability_0.5,70
108,probability_0.6,53
108,probability_0.7,43
108,probability_0.8,38
108,probability_0.9,28
109,probability_0.1,133
109,probability_0.2,108
109,probability_0.3,95
109,probability_0.4,74
109,probability_0.5,58
109,probability_0.6,34
109,probability_0.7,25
109,probability_0.8,16
109,probability_0.9,14
110,probability_0.1,49
110,probability_0.2,41
110,probability_0.3,32
110,probability_0.4,23
110,probability_0.5,12
110,probability_0.6,10
110,probability_0.7,6
110,probability_0.8,5
110,probability_0.9,2
111,probability_0.1,155
111,probability_0.2,136
111,probability_0.3,109
111,probability_0.4,56
111,probability_0.5,54
111,probability_0.6,45
111,probability_0.7,33
111,probability_0.8,17
111,probability_0.9,7
112,probability_0.1,99
112,probability_0.2,71
112,probability_0.3,54
112,probability_0.4,44
112,probability_0.5,38
112,probability_0.6,33
112,probability_0.7,26
112,probability_0.8,10
112,probability_0.9,5
113,probability_0.1,130
113,probability_0.2,114
113,probability_0.3,91
113,probability_0.4,57
113,probability_0.5,33
113,probability_0.6,17
113,probability_0.7,11
113,probability_0.8,5
113,probability_0.9,4
117,probability_0.1,222
117,probability_0.2,54
117,probability_0.3,11
117,probability_0.4,2
119,probability_0.1,495
119,probability_0.2,98
119,probability_0.3,26
119,probability_0.4,18
119,probability_0.5,12
119,probability_0.6,9
119,probability_0.7,6
119,probability_0.8,3
119,probability_0.9,1
121,probability_0.1,50
121,probability_0.2,15
121,probability_0.3,12
121,probability_0.4,12
121,probability_0.5,9
121,probability_0.6,9
121,probability_0.7,9
121,probability_0.8,9
121,probability_0.9,8
124,probability_0.1,29
124,probability_0.2,17
124,probability_0.3,13
124,probability_0.4,10
124,probability_0.5,3
125,probability_0.1,29
125,probability_0.2,17
125,probability_0.3,13
125,probability_0.4,10
125,probability_0.5,3
126,probability_0.1,44
126,probability_0.2,25
126,probability_0.3,17
126,probability_0.4,13
126,probability_0.5,10
126,probability_0.6,7
126,probability_0.7,1
127,probability_0.1,408
127,probability_0.2,232
127,probability_0.3,141
127,probability_0.4,69
127,probability_0.5,26
127,probability_0.6,12
127,probability_0.7,9
127,probability_0.8,7
127,probability_0.9,5
129,probability_0.1,56
129,probability_0.2,30
129,probability_0.3,23
129,probability_0.4,11
129,probability_0.5,4
129,probability_0.6,2
129,probability_0.7,1
130,probability_0.1,25
130,probability_0.2,24
130,probability_0.3,23
130,probability_0.4,23
130,probability_0.5,22
130,probability_0.6,19
130,probability_0.7,16
130,probability_0.8,13
130,probability_0.9,8
131,probability_0.1,88
131,probability_0.2,72
131,probability_0.3,64
131,probability_0.4,45
131,probability_0.5,27
131,probability_0.6,11
131,probability_0.7,6
131,probability_0.8,1
132,probability_0.1,125
132,probability_0.2,34
132,probability_0.3,28
132,probability_0.4,25
132,probability_0.5,21
132,probability_0.6,15
132,probability_0.7,10
132,probability_0.8,2
133,probability_0.1,19
133,probability_0.2,6
133,probability_0.3,1
134,probability_0.1,265
134,probability_0.2,180
134,probability_0.3,130
134,probability_0.4,96
134,probability_0.5,67
134,probability_0.6,30
134,probability_0.7,16
134,probability_0.8,3
134,probability_0.9,1
135,probability_0.1,86
135,probability_0.2,47
135,probability_0.3,42
135,probability_0.4,42
135,probability_0.5,41
135,probability_0.6,33
135,probability_0.7,17
135,probability_0.8,8
135,probability_0.9,2
136,probability_0.1,14
136,probability_0.2,4
136,probability_0.3,4
136,probability_0.4,4
136,probability_0.5,4
136,probability_0.6,3
136,probability_0.7,2
136,probability_0.8,2
136,probability_0.9,1
137,probability_0.1,177
137,probability_0.2,61
137,probability_0.3,59
137,probability_0.4,56
137,probability_0.5,53
137,probability_0.6,41
137,probability_0.7,33
137,probability_0.8,15
137,probability_0.9,10
138,probability_0.1,162
138,probability_0.2,80
138,probability_0.3,76
138,probability_0.4,68
138,probability_0.5,55
138,probability_0.6,40
138,probability_0.7,32
138,probability_0.8,22
138,probability_0.9,13
139,probability_0.1,186
139,probability_0.2,105
139,probability_0.3,83
139,probability_0.4,73
139,probability_0.5,66
139,probability_0.6,62
139,probability_0.7,57
139,probability_0.8,41
139,probability_0.9,20
140,probability_0.1,9
140,probability_0.2,6
140,probability_0.3,6
140,probability_0.4,5
140,probability_0.5,4
140,probability_0.6,3
140,probability_0.7,2
140,probability_0.8,1
140,probability_0.9,1
141,probability_0.1,1080
141,probability_0.2,573
141,probability_0.3,259
141,probability_0.4,129
141,probability_0.5,77
141,probability_0.6,43
141,probability_0.7,26
141,probability_0.8,13
141,probability_0.9,8
142,probability_0.1,176
142,probability_0.2,150
142,probability_0.3,141
142,probability_0.4,109
142,probability_0.5,67
142,probability_0.6,35
142,probability_0.7,14
142,probability_0.8,3
142,probability_0.9,1
143,probability_0.1,114
143,probability_0.2,74
143,probability_0.3,55
143,probability_0.4,26
143,probability_0.5,17
143,probability_0.6,9
143,probability_0.7,4
143,probability_0.8,1
144,probability_0.1,10
144,probability_0.2,1
144,probability_0.3,1
144,probability_0.4,1
144,probability_0.5,1
144,probability_0.6,1
144,probability_0.7,1
144,probability_0.8,1
144,probability_0.9,1
145,probability_0.1,180
145,probability_0.2,35
145,probability_0.3,9
145,probability_0.4,2
145,probability_0.5,1
145,probability_0.6,1
145,probability_0.7,1
145,probability_0.8,1
145,probability_0.9,1
146,probability_0.1,414
146,probability_0.2,205
146,probability_0.3,116
146,probability_0.4,72
146,probability_0.5,37
146,probability_0.6,20
146,probability_0.7,9
146,probability_0.8,7
146,probability_0.9,3
147,probability_0.1,408
147,probability_0.2,230
147,probability_0.3,138
147,probability_0.4,91
147,probability_0.5,71
147,probability_0.6,59
147,probability_0.7,47
147,probability_0.8,39
147,probability_0.9,34
148,probability_0.1,16
148,probability_0.2,13
148,probability_0.3,8
148,probability_0.4,6
148,probability_0.5,5
148,probability_0.6,3
148,probability_0.7,3
148,probability_0.8,3
148,probability_0.9,2
149,probability_0.1,252
149,probability_0.2,103
149,probability_0.3,57
149,probability_0.4,37
149,probability_0.5,32
149,probability_0.6,29
149,probability_0.7,21
149,probability_0.8,11
149,probability_0.9,4
